source,page_number,page_offset,display_rank,list_position,row_index,target_rank,exposure_type,is_listing_target,product_id,variation_id,origin,product_url,retailer_sku_name,sku_status_raw,sku_status,brand,final_sku_price,original_sku_price,savings,sku_popularity_raw,sku_popularity,delivery_availability_raw,delivery_availability,count_of_reviews_listing,average_rating_listing,energy_efficiency_class,energy_label_uri,energy_datasheet_uri,top_infos,discount_type_raw,discount_type,classify_reason,is_target,main_rank,bsr_rank,page_type
topseller_api,3,218,318,318,318,318,organic,True,C1837709047,S06DE0F0GWGF,,https://www.otto.de/p/gorenje-kuehl-gefrierkombination-nrk418dcs4-182-4-cm-hoch-55-cm-breit-C1837709047/,GORENJE Kühl-/Gefrierkombination NRK418DCS4,,,GORENJE,"567,30 €",,,,,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,10,4.5,D,https://i.otto.de/i/otto/a764bfc1-1de9-5a1e-92fb-673cd2907d04?$dv_energieetikett$,https://d.otto.de/files/4f53ac66-535d-5368-9f32-085c81eca087.pdf,"{""B/H/T"": ""55 x 182,4 x 55,7 cm"", ""Kapazität Kühlen"": ""171 l"", ""Kapazität Frieren"": ""85 l""}",,,ref_type_keyword,True,265,,main
topseller_api,3,218,319,319,319,319,organic,True,S074601A,S074601AJQQ5,,https://www.otto.de/p/sharp-kuehl-gefrierkombination-edelstahl-sj-ba10dhxic-eu-186-cm-hoch-59-5-cm-breit-led-innenbeleuchtung-advancednofrost-zerodegreezone-S074601A/,Sharp Kühl-/Gefrierkombination Edelstahl SJ-BA10DHXIC-EU,,,Sharp,"555,55 €","1.099,00 €",-49%,,,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,3,4.5,C,https://i.otto.de/i/otto/2279335a-7449-461d-99f9-f8ffed633ec4?$dv_energieetikett$,https://d.otto.de/files/5d499365-eb71-4c4a-b324-ce65871e06ab.pdf,"{""B/H/T"": ""59,5 x 186 x 65 cm"", ""Kapazität Kühlen"": ""230 l"", ""Kapazität Frieren"": ""101 l"", ""Betriebsgeräusch"": ""39 dB(A)""}",,,ref_type_keyword,True,266,,main
topseller_api,3,218,321,321,321,321,organic,True,1863978159,1855201052,,https://www.otto.de/p/liebherr-kuehlschrank-prime-rbsfc-5220_994984551-185-5-cm-hoch-59-7-cm-breit-1863978159/,Liebherr Kühlschrank Prime RBsfc 5220_994984551,,,Liebherr,"1.149,00 €","1.259,00 €",-9%,,,lieferbar - in 6-7 Werktagen bei dir,Available - at your door in 6-7 working days,,,C,https://i.otto.de/i/otto/853fe10e-4631-5842-804b-b03f5b63b2a4?$dv_energieetikett$,https://d.otto.de/files/c8fef738-a326-514c-8689-09c9efb90574.pdf,"{""B/H/T"": ""59,7 x 185,5 x 67,5 cm"", ""Kapazität Kühlen"": ""382 l"", ""Kapazität Frieren"": ""0 l"", ""Betriebsgeräusch"": ""34 dB(A)""}",,,ref_type_keyword,True,267,,main
topseller_api,3,218,322,322,322,322,organic,True,S06F80B0,S06F80B06Y2U,,https://www.otto.de/p/gorenje-kuehlschrank-obrb615dbk-152-5-cm-hoch-59-5-cm-breit-retro-design-S06F80B0/,GORENJE Kühlschrank OBRB615DBK,,,GORENJE,"1.098,90 €",,,,,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,,,D,https://i.otto.de/i/otto/28aa12c3-d300-516f-9097-0a326a1f5007?$dv_energieetikett$,https://d.otto.de/files/a0f8cc13-15c9-5e06-b540-5458c84358c5.pdf,"{""B/H/T"": ""59.5 x 152.5 x 66.1 cm"", ""Kapazität Kühlen"": ""225 l"", ""Kapazität Frieren"": ""22 l"", ""Betriebsgeräusch"": ""38 dB(A)""}",,,ref_type_keyword,True,268,,main
topseller_api,3,218,323,323,323,323,organic,True,C2025045762,2025045763,,https://www.otto.de/p/beko-kuehl-gefrierkombination-b5rcna416hxb-203-5-cm-hoch-59-5-cm-breit-volle-kapazitaet-ohne-abtauen-C2025045762/,BEKO Kühl-/Gefrierkombination B5RCNA416HXB,,,BEKO,"549,00 €","719,00 €",-24%,,,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,5,4.5,C,https://i.otto.de/i/otto/6921724e-8a51-52b9-9093-275601e016dc?$dv_energieetikett$,https://d.otto.de/files/22c7ae80-bf11-5488-b288-1bc458ea312a.pdf,"{""B/H/T"": ""59,5 x 203,5 x 67,3 cm"", ""Kapazität Kühlen"": ""297 l"", ""Kapazität Frieren"": ""118 l"", ""Betriebsgeräusch"": ""35 dB(A)""}",,,ref_type_keyword,True,269,,main
topseller_api,3,218,324,324,324,324,organic,True,S0A8Z0LL,S0A8Z0LL2PE7,,https://www.otto.de/p/yuna-kuehlschrank-serebro-e-84-cm-hoch-47-5-cm-breit-S0A8Z0LL/,YUNA Kühlschrank Serebro E,,,YUNA,"149,99 €","259,00 €",-42%,,,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,10,3.0,E,https://i.otto.de/i/otto/6b17a529-fc4f-46c9-a3fc-0d24dabc3411?$dv_energieetikett$,https://d.otto.de/files/09283652-0ad3-4bd5-8352-7bf1a9872c21.pdf,"{""B/H/T"": ""47.5 x 84 x 45 cm"", ""Kapazität Kühlen"": ""94 l"", ""Betriebsgeräusch"": ""36 dB(A)""}",,,ref_type_keyword,True,270,,main
topseller_api,3,218,325,325,325,325,organic,True,1840162267,1840162608,,https://www.otto.de/p/samsung-kuehl-gefrierkombination-rb6000-rb53dg706as9-203-cm-hoch-75-9-cm-breit-extra-weit-75cm-nofrost-1840162267/,Samsung Kühl-/Gefrierkombination RB6000 RB53DG706AS9,,,Samsung,"1.319,00 €","2.199,00 €",-40%,,,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,28,5.0,A,https://i.otto.de/i/otto/dc42463b-e18b-5993-9d4a-58f51e77d333?$dv_energieetikett$,https://d.otto.de/files/32438f99-e3ea-5449-b9e2-6c5030616010.pdf,"{""B/H/T"": ""75,9 x 203 x 71,1 cm"", ""Kapazität Kühlen"": ""370 l"", ""Kapazität Frieren"": ""168 l"", ""Betriebsgeräusch"": ""34 dB(A)""}",,,ref_type_keyword,True,271,,main
topseller_api,3,218,326,326,326,326,organic,True,2077536719,2077536720,,https://www.otto.de/p/beko-kuehl-gefrierkombination-b5rcna376hxb-186-5-cm-hoch-59-5-cm-breit-volle-kapazitaet-ohne-abtauen-2077536719/,BEKO Kühl-/Gefrierkombination B5RCNA376HXB,,,BEKO,"499,00 €","689,00 €",-28%,,,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,,,C,https://i.otto.de/i/otto/e921cb48-54d8-5ab7-a760-4d40dcce21f2?$dv_energieetikett$,https://d.otto.de/files/aec37c54-f020-51f6-b4d6-ec1ab5b863f9.pdf,"{""B/H/T"": ""59,5 x 186,5 x 67,3 cm"", ""Kapazität Kühlen"": ""252 l"", ""Kapazität Frieren"": ""118 l"", ""Betriebsgeräusch"": ""35 dB(A)""}",,,ref_type_keyword,True,272,,main
topseller_api,3,218,328,328,328,328,organic,True,1855349791,1855350057,,https://www.otto.de/p/liebherr-kuehl-gefrierkombination-prime-rc-1401_994791451-85-cm-hoch-55-cm-breit-1855349791/,Liebherr Kühl-/Gefrierkombination Prime Rc 1401_994791451,,,Liebherr,"549,00 €","599,00 €",-8%,,,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,,,C,https://i.otto.de/i/otto/3df1cce9-d671-560d-8644-abd889dc4d73?$dv_energieetikett$,https://d.otto.de/files/11679c95-9ee0-5f63-b89c-68d47d38d660.pdf,"{""B/H/T"": ""55 x 85 x 60,7 cm"", ""Kapazität Kühlen"": ""97 l"", ""Kapazität Frieren"": ""15 l"", ""Betriebsgeräusch"": ""35 dB(A)""}",,,ref_type_keyword,True,273,,main
topseller_api,3,218,329,329,329,329,organic,True,C1881425181,1881428188,,https://www.otto.de/p/exquisit-kuehl-gefrierkombination-kgc265-70-ws-040e-wasserspender-4plus-gefrieren-wechselbarer-tueranschlag-C1881425181/,exquisit Kühl-/Gefrierkombination KGC265-70-WS-040E inoxlook-az,,,exquisit,"399,00 €","839,00 €",-52%,,,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,31,4.5,E,https://i.otto.de/i/otto/e05b7fe3-94e3-52aa-9db6-2e8e009b0ebf?$dv_energieetikett$,https://d.otto.de/files/718785e1-e1d8-509c-8b21-7797f60af885.pdf,"{""B/H/T"": ""55 x 180 x 56 cm"", ""Kapazität Kühlen"": ""189 l"", ""Kapazität Frieren"": ""71 l"", ""Betriebsgeräusch"": ""40 dB(A)""}",,,ref_type_keyword,True,274,,main
