source,page_number,page_offset,display_rank,list_position,row_index,target_rank,exposure_type,is_listing_target,product_id,variation_id,origin,product_url,retailer_sku_name,sku_status_raw,sku_status,brand,final_sku_price,original_sku_price,savings,discount_type_raw,discount_type,delivery_availability_raw,delivery_availability,count_of_reviews_listing,average_rating_listing,energy_efficiency_class,energy_label_uri,energy_datasheet_uri,top_infos,sku_popularity_raw,sku_popularity,classify_reason,is_target,main_rank,bsr_rank,page_type
topseller_api,1,0,11,11,11,11,organic,True,1975568002,1975568003,,https://www.otto.de/p/samsung-gu65u7099fu-led-fernseher-163-cm-65-zoll-4k-ultra-hd-smart-tv-crystal-uhd-q-symphony-dolby-surround-sound-triple-tuner-smart-hub-1975568002/,Samsung GU65U7099FU LED-Fernseher,,,Samsung,"519,00 €","899,00 €",-42%,,,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,253,4.5,G,https://i.otto.de/i/otto/2e9942ca-c0ba-5325-bb83-ba07d5d464db?$dv_energieetikett$,https://d.otto.de/files/1bf76f9c-d435-5002-8a07-8a232062dbad.pdf,"{""Diagonale"": ""163 cm/65 Zoll"", ""Bildschirmtechnologie"": ""LED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""50 Hz""}",Sehr beliebt,Very popular,tv_product_signature,True,11,11,main
topseller_api,1,0,12,12,12,12,organic,True,2037941359,2037941360,,https://www.otto.de/p/samsung-gq65q6faau-qled-fernseher-163-cm-65-zoll-4k-ultra-hd-smart-tv-2037941359/,Samsung GQ65Q6FAAU QLED-Fernseher,,,Samsung,"579,00 €","1.049,00 €",-45%,nur für kurze Zeit,Only for a short time,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,62,4.5,G,https://i.otto.de/i/otto/2e5b8003-a6fd-546c-bd5b-bd5fbc363f1e?$dv_energieetikett$,https://d.otto.de/files/6bea7fe5-ffa2-5e82-9754-6f4e3c54729b.pdf,"{""Diagonale"": ""163 cm/65 Zoll"", ""Bildschirmtechnologie"": ""QLED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""50 Hz""}",Sehr beliebt,Very popular,tv_product_signature,True,12,12,main
topseller_api,1,0,13,13,13,13,organic,True,1975567879,1975567880,,https://www.otto.de/p/samsung-gu55u7099fu-led-fernseher-139-cm-55-zoll-4k-ultra-hd-smart-tv-crystal-uhd-q-symphony-dolby-surround-sound-triple-tuner-smart-hub-1975567879/,Samsung GU55U7099FU LED-Fernseher,,,Samsung,"359,00 €","699,00 €",-49%,nur für kurze Zeit,Only for a short time,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,279,4.5,G,https://i.otto.de/i/otto/768b8365-0f76-50aa-9636-4d97fd0be560?$dv_energieetikett$,https://d.otto.de/files/1d953692-13aa-5e8f-9785-a295be600e03.pdf,"{""Diagonale"": ""139 cm/55 Zoll"", ""Bildschirmtechnologie"": ""LED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""50 Hz""}",Sehr beliebt,Very popular,tv_product_signature,True,13,13,main
topseller_api,1,0,14,14,14,14,organic,True,1844694669,1844694670,,https://www.otto.de/p/samsung-gu98du9079u-led-fernseher-249-cm-98-zoll-4k-ultra-hd-smart-tv-crystal-uhd-q-symphony-dolby-surround-sound-triple-tuner-smart-hub-1844694669/,Samsung GU98DU9079U LED-Fernseher,,,Samsung,"1.399,00 €","4.299,00 €",-67%,nur für kurze Zeit,Only for a short time,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,87,4.5,F,https://i.otto.de/i/otto/2521aed5-0d39-5a07-b652-b744e3f2b0bc?$dv_energieetikett$,https://d.otto.de/files/bf16bbb3-7cfa-5087-b275-3920494a27df.pdf,"{""Diagonale"": ""249 cm/98 Zoll"", ""Bildschirmtechnologie"": ""LED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""100 Hz""}",Sehr beliebt,Very popular,tv_product_signature,True,14,14,main
topseller_api,1,0,15,15,15,15,organic,True,C1968874003,1968874005,,https://www.otto.de/p/lg-50ua73006la-led-fernseher-50-zoll-uhd-smart-tv-mit-internetzugang-uhd-aufloesung-fuer-scharfe-bilder-C1968874003/,LG 43UA73006LA LED-Fernseher,,,LG,"249,00 €","529,00 €",-53%,nur diesen Monat,Only this month,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,283,4.5,G,https://i.otto.de/i/otto/fd579745-6b41-5304-8d5c-4a4a157dcd7d?$dv_energieetikett$,https://d.otto.de/files/3f7e8f86-1761-5a68-bd64-2fabb097abdd.pdf,"{""Diagonale"": ""108 cm/43 Zoll"", ""Bildschirmtechnologie"": ""Edge-LED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""60 Hz""}",Sehr beliebt,Very popular,tv_product_signature,True,15,15,main
topseller_api,1,0,17,17,17,17,organic,True,C1980401029,1980401030,,https://www.otto.de/p/philips-65pus7000-12-led-fernseher-164-cm-65-zoll-4k-ultra-hd-smart-tv-pixel-precise-uhd-hdr10plus-dolby-atmos-dts-x-sound-gaming-C1980401029/,Philips 65PUS7000/12 LED-Fernseher,,,Philips,"449,00 €","949,00 €",-53%,nur für kurze Zeit,Only for a short time,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,28,3.5,E,https://i.otto.de/i/otto/01797550-7051-5602-af4d-4b1659a1237b?$dv_energieetikett$,https://d.otto.de/files/ad62690b-fbbc-5958-9ed5-2dbe8c55b1c8.pdf,"{""Diagonale"": ""164 cm/65 Zoll"", ""Bildschirmtechnologie"": ""LED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""60 Hz""}",,,tv_product_signature,True,16,16,main
topseller_api,1,0,18,18,18,18,organic,True,1970617922,1970617923,,https://www.otto.de/p/philips-75pus7800-12-qled-fernseher-189-cm-75-zoll-4k-ultra-hd-smart-tv-pixel-precise-ultra-hd-hdr10plus-hlg-dolby-atmos-dts-x-sound-1970617922/,Philips 75PUS7800/12 QLED-Fernseher,,,Philips,"649,00 €","1.299,00 €",-50%,nur für kurze Zeit,Only for a short time,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,55,4.0,D,https://i.otto.de/i/otto/799bc64e-66fd-58de-8ad2-c6398b079ac7?$dv_energieetikett$,https://d.otto.de/files/8b47bae6-3490-5d68-921a-add2e579b79c.pdf,"{""Diagonale"": ""189 cm/75 Zoll"", ""Bildschirmtechnologie"": ""QLED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""60 Hz""}",Sehr beliebt,Very popular,tv_product_signature,True,17,17,main
topseller_api,1,0,19,19,19,19,organic,True,C2093628489,1962381501,,https://www.otto.de/p/tcl-55v6cx2-led-fernseher-139-cm-55-zoll-4k-ultra-hd-smart-tv-google-tv-4k-hdr-multi-hdr-dolby-vision-game-master-smart-tv-apple-tv-C2093628489/,TCL 55V6CX2 LED-Fernseher,,,TCL,"299,00 €","549,00 €",-46%,nur bis Dienstag,Only until Tuesday,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,475,4.5,E,https://i.otto.de/i/otto/25279e81-abcb-5b1f-843f-b32158abddd0?$dv_energieetikett$,https://d.otto.de/files/ddc2962b-8151-50f2-8daf-b2c74f52f468.pdf,"{""Diagonale"": ""139 cm/55 Zoll"", ""Bildschirmtechnologie"": ""LED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV, Google TV"", ""Bildwiederholfrequenz"": ""60 Hz""}",Sehr beliebt,Very popular,tv_product_signature,True,18,18,main
topseller_api,1,0,20,20,20,20,organic,True,C2087551467,2087551468,,https://www.otto.de/p/hisense-58e7s-qled-fernseher-146-cm-58-zoll-4k-ultra-hd-smart-tv-C2087551467/,Hisense 58E7S QLED-Fernseher,,,Hisense,"399,00 €","749,00 €",-47%,nur für kurze Zeit,Only for a short time,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,3,4.5,E,https://i.otto.de/i/otto/58405dfb-9a14-5afb-95e3-f1703e6f8ad7?$dv_energieetikett$,https://d.otto.de/files/043fb799-df96-508e-b2bd-38783fd11d03.pdf,"{""Diagonale"": ""146 cm/58 Zoll"", ""Bildschirmtechnologie"": ""QLED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""60 Hz""}",,,tv_product_signature,True,19,19,main
topseller_api,1,0,21,21,21,21,organic,True,1975567834,1975567836,,https://www.otto.de/p/samsung-gu50u7099fu-led-fernseher-125-cm-50-zoll-4k-ultra-hd-smart-tv-crystal-uhd-q-symphony-dolby-surround-sound-triple-tuner-smart-hub-1975567834/,Samsung GU50U7099FU LED-Fernseher,,,Samsung,"333,00 €","579,00 €",-42%,nur für kurze Zeit,Only for a short time,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,179,4.5,G,https://i.otto.de/i/otto/8cc872cf-73d5-5e61-9659-658ea8378438?$dv_energieetikett$,https://d.otto.de/files/bbcf2305-4bde-56a3-9fd2-11748297ed05.pdf,"{""Diagonale"": ""125 cm/50 Zoll"", ""Bildschirmtechnologie"": ""LED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""50 Hz""}",Sehr beliebt,Very popular,tv_product_signature,True,20,20,main
