source,page_number,page_offset,display_rank,list_position,row_index,target_rank,exposure_type,is_listing_target,product_id,variation_id,origin,product_url,retailer_sku_name,sku_status_raw,sku_status,brand,final_sku_price,original_sku_price,savings,discount_type_raw,discount_type,delivery_availability_raw,delivery_availability,count_of_reviews_listing,average_rating_listing,energy_efficiency_class,energy_label_uri,energy_datasheet_uri,top_infos,sku_popularity_raw,sku_popularity
topseller_api,1,0,82,82,82,82,organic,True,C1968873877,1968873879,,https://www.otto.de/p/lg-oled65c5elb-oled-fernseher-164-cm-65-zoll-4k-ultra-hd-smart-tv-C1968873877/,LG OLED65C5ELB OLED-Fernseher,,,LG,"1.199,00 €","3.199,00 €",-63%,nur für kurze Zeit,Only for a short time,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,61,5.0,F,https://i.otto.de/i/otto/fad769c8-45f3-5a27-b9a5-94588dc4ce03?$dv_energieetikett$,https://d.otto.de/files/726125d6-0968-5eca-84ea-0ae8f380e8b1.pdf,"{""Diagonale"": ""164 cm/65 Zoll"", ""Bildschirmtechnologie"": ""OLED evo"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""120 Hz""}",Sehr beliebt,Very popular
topseller_api,1,0,83,83,83,83,organic,True,1975568110,1975568111,,https://www.otto.de/p/samsung-hw-b410gf-soundbar-soundbar-2-0-bluetooth-20-w-2-0-kanal-surround-sound-system-game-mode-one-remote-control-1975568110/,Samsung HW-B410GF Soundbar Soundbar,,,Samsung,"79,00 €","169,00 €",-53%,nur für kurze Zeit,Only for a short time,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,85,4.5,,,,"{""Netzwerkstandard"": ""Bluetooth"", ""Gesamtleistung"": ""20 W"", ""Gewicht"": ""2,1 kg""}",Sehr beliebt,Very popular
topseller_api,1,0,84,84,84,84,organic,True,1964450141,1964450142,,https://www.otto.de/p/tcl-85q7cx2-mini-led-fernseher-215-cm-85-zoll-4k-ultra-hd-smart-tv-google-tv-audio-von-bang-olufsen-praezises-dimming-smart-tv-apple-tv-4k-hdr-1964450141/,TCL 85Q7CX2 Mini-LED-Fernseher,,,TCL,"1.399,00 €","1.699,00 €",-18%,nur für kurze Zeit,Only for a short time,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,5,3.5,D,https://i.otto.de/i/otto/9561f2ce-3931-549e-92fe-9ca51cd70186?$dv_energieetikett$,https://d.otto.de/files/fd398ed2-98e0-545d-b0ad-c716208a2e2a.pdf,"{""Diagonale"": ""215 cm/85 Zoll"", ""Bildschirmtechnologie"": ""QLED mini"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV, Google TV"", ""Bildwiederholfrequenz"": ""120 Hz""}",,
topseller_api,1,0,85,85,85,85,organic,True,S08GC0GB,S08GC0GBN3VN,,https://www.otto.de/p/hisense-l9q-smart-laser-tv-4k-laser-tv-S08GC0GB/,"Hisense L9Q, Smart Laser TV 4K Laser-TV",,,Hisense,"4.599,00 €","5.000,00 €",-8%,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,,,,,,,,
topseller_api,1,0,86,86,86,86,organic,True,C1970617890,1970617891,,https://www.otto.de/p/philips-32pfs6900-12-led-fernseher-80-cm-32-zoll-full-hd-smart-tv-ambilight-pixel-plus-hd-hdr10-hlg-dolby-audio-vocal-boost-C1970617890/,Philips 32PFS6900/12 LED-Fernseher,,,Philips,"199,00 €","499,00 €",-60%,,,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,28,4.0,F,https://i.otto.de/i/otto/dd18a621-7871-5b66-852e-5f6936237bd9?$dv_energieetikett$,https://d.otto.de/files/430e1f24-f437-5a6b-a99b-a428d01be231.pdf,"{""Diagonale"": ""80 cm/32 Zoll"", ""Bildschirmtechnologie"": ""LED"", ""Auflösung"": ""Full HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""60 Hz""}",Sehr beliebt,Very popular
topseller_api,1,0,87,87,87,87,organic,True,S0B5A06Y,S0B5A06Y9CSO,,https://www.otto.de/p/sonni-tv-schrank-schwarzer-tv-staender-mit-led-beleuchtung-stilvoll-140-180cm-breit-mit-12-led-farben-beleuchtung-tv-board-S0B5A06Y/,SONNI TV-Schrank Schwarzer TV-Ständer mit LED-Beleuchtung Stilvoll 140-180cm breit,,,SONNI,"99,99 €","245,99 €",-59%,,,lieferbar - in 5-6 Werktagen bei dir,Available - at your door in 5-6 working days,36,4.0,,,,,,
topseller_api,1,0,88,88,88,88,organic,True,1964494789,1964494790,,https://www.otto.de/p/tcl-55q6cx1-mini-led-fernseher-139-cm-55-zoll-4k-ultra-hd-smart-tv-google-tv-4k-multi-hdr-dolby-vision-144hz-onkyo-dolby-atmos-apple-airplay-2-1964494789/,TCL 55Q6CX1 Mini-LED-Fernseher,,,TCL,"449,00 €","549,00 €",-18%,nur für kurze Zeit,Only for a short time,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,20,5.0,F,https://i.otto.de/i/otto/ed0e836f-de9e-5d37-a634-68a3d28cd5f1?$dv_energieetikett$,https://d.otto.de/files/dbe52190-95dc-5527-8c6f-215739b56a94.pdf,"{""Diagonale"": ""139 cm/55 Zoll"", ""Bildschirmtechnologie"": ""QLED mini"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV, Google TV"", ""Bildwiederholfrequenz"": ""120 Hz""}",,
topseller_api,1,0,89,89,89,89,organic,True,S0LGJ0MG,S0LGJ0MGVY1Q,,https://www.otto.de/p/sharp-1t-c24hex-lcd-led-fernseher-60-cm-24-zoll-hd-ready-smart-tv-powered-by-tivo-24he2745e-smart-tv-powered-by-tivo-hdr-triple-tuner-S0LGJ0MG/,Sharp 1T-C24HEx LCD-LED Fernseher,,,Sharp,"149,99 €","249,00 €",-40%,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,,,E,https://i.otto.de/i/otto/6160e946-9fb9-5f0d-8d66-61aa18cbc567?$dv_energieetikett$,https://d.otto.de/files/966f7b33-b14d-54f7-8e72-667bfeff6ed4.pdf,"{""Diagonale"": ""60 cm/24 Zoll"", ""Bildschirmtechnologie"": ""LED"", ""Auflösung"": ""HD-ready"", ""Internetfähigkeit"": ""Smart TV powered by TiVo"", ""Bildwiederholfrequenz"": ""60 Hz""}",,
topseller_api,1,0,90,90,90,90,organic,True,C663617356,663617357,,https://www.otto.de/p/sony-ht-sf150-soundbar-stereo-bluetooth-120-w-verbindung-ueber-hdmi-bluetooth-usb-tv-soundsystem-C663617356/,Sony HT-SF150 Soundbar,,,Sony,"90,99 €","149,90 €",-39%,,,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,1547,4.5,,,,"{""Netzwerkstandard"": ""Bluetooth"", ""Gesamtleistung"": ""120 W"", ""Gewicht"": ""3,5 kg""}",Sehr beliebt,Very popular
topseller_api,1,0,91,91,91,91,organic,True,1975567524,1975567530,,https://www.otto.de/p/samsung-gq83s90fae-oled-fernseher-209-cm-83-zoll-4k-ultra-hd-smart-tv-hdrplus-dolby-atmos-ai-sound-gaming-hub-upscaling-pro-bis-zu-144hz-1975567524/,Samsung GQ83S90FAE OLED-Fernseher,,,Samsung,"2.219,00 €","7.199,00 €",-69%,nur für kurze Zeit,Only for a short time,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,2,5.0,F,https://i.otto.de/i/otto/35c90f99-1047-52ae-ad6d-0ba0b0fdcad4?$dv_energieetikett$,https://d.otto.de/files/8540e101-4fc8-5261-ae7b-4fcbacdc77fb.pdf,"{""Diagonale"": ""209 cm/83 Zoll"", ""Bildschirmtechnologie"": ""OLED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""144 Hz""}",,
