source,page_number,page_offset,display_rank,list_position,row_index,target_rank,exposure_type,is_listing_target,product_id,variation_id,origin,product_url,retailer_sku_name,sku_status_raw,sku_status,brand,final_sku_price,original_sku_price,savings,discount_type_raw,discount_type,delivery_availability_raw,delivery_availability,count_of_reviews_listing,average_rating_listing,energy_efficiency_class,energy_label_uri,energy_datasheet_uri,top_infos,sku_popularity_raw,sku_popularity,classify_reason,is_target
topseller_api,3,218,321,321,321,321,organic,True,C1805857584,S0HBD0DBOYKD,,https://www.otto.de/p/hama-tv-wandhalterung-wandhalterung-fuer-apple-tv-hd-4-gen-apple-tv-hd-4k-1-2-3-gen-magnetisch-flach-farbe-schwarz-mit-montagezubehoer-fernseher-C1805857584/,Hama TV-Wandhalterung Wandhalterung für Apple TV HD (4. Gen) Apple TV HD 4K (1./2./3. Gen),,,Hama,"16,16 €",,,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,,,,,,,,,"exclude_keyword:wandhalter,halterung",False
topseller_api,3,218,325,325,325,325,organic,True,C1685791727,1685791728,,https://www.otto.de/p/apple-streaming-box-tv-4k-wi-fi-plus-ethernet-128gb-3rd-gen-C1685791727/,Apple Streaming-Box TV 4K Wi‑Fi + Ethernet 128GB (3rd Gen),,,Apple,"299,00 €",,,,,lieferbar in 4 Wochen,Available in 4 weeks,198,5.0,,,,,Sehr beliebt,Very popular,exclude_keyword:streaming-box,False
topseller_api,3,218,326,326,326,326,organic,True,CS02HC0YI,S04B50I5H7GW,,https://www.otto.de/p/ultimea-nova-c40-beamer-mit-4k-dekodierung-und-android-tv-11-0-beamer-1000-1-1920-x-1080-px-dolby-audio-600-ansi-hdr10-hlg-mit-90-gimbal-stand-freiem-design-CS02HC0YI/,Ultimea Nova C40 Beamer mit 4K Dekodierung und Android TV 11.0 Beamer,,,Ultimea,"299,99 €","599,99 €",-50%,,,lieferbar - in 5-6 Werktagen bei dir,Available - at your door in 5-6 working days,35,4.0,,,,,,,exclude_keyword:beamer,False
topseller_api,3,218,327,327,327,327,organic,True,S05CC0E9,S05CC0E9QLTG,,https://www.otto.de/p/ultimea-poseidon-d80-boom-soundbar-7-1-surround-sound-system-4-kabelgebundene-surround-lautsprecher-bluetooth-hdmi-500-w-6-5-wireless-subwoofer-dolby-atmos-fuer-tv-S05CC0E9/,Ultimea Poseidon D80 Boom Soundbar,,,Ultimea,"299,99 €","499,99 €",-40%,,,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,31,4.5,,,,"{""Netzwerkstandard"": ""Bluetooth, HDMI"", ""Gesamtleistung"": ""500 W"", ""Gewicht"": ""11,4 kg""}",Sehr beliebt,Very popular,exclude_accessory_keyword:soundbar,False
topseller_api,3,218,340,340,340,340,organic,True,S05DO0VY,S05DO0VYIRNJ,,https://www.otto.de/p/xgody-gimbal-a1-smart-projektor-android-14-wlan-6-bt-5-4-autofokus-lcd-beamer-400-lm-10000-1-3840-x-2160-400-ansi-lumen-px-auto-trapezkorrektur-tragbarer-8k-filmprojektor-S05DO0VY/,"XGODY Gimbal A1 Smart Projektor – Android 14, WLAN 6, BT 5.4, Autofokus LCD-Beamer",,,XGODY,"79,99 €","249,99 €",-68%,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,5,5.0,,,,,,,"exclude_keyword:projektor,beamer",False
topseller_api,3,218,341,341,341,341,organic,True,C1605654703,S0B3108CVQH8,,https://www.otto.de/p/karcher-sb-800s-soundbar-2-1-bluetooth-60-w-surround-soundsystem-mit-subwoofer-usb-aux-hdmi-arc-fernbedienung-C1605654703/,Karcher SB 800S Soundbar,,,Karcher,"89,99 €","149,99 €",-40%,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,270,4.5,,,,"{""Netzwerkstandard"": ""Bluetooth"", ""Gesamtleistung"": ""60 W""}",,,exclude_accessory_keyword:soundbar,False
topseller_api,3,218,344,344,344,344,organic,True,CS0BC40QA,S0J9K0S21URY,,https://www.otto.de/p/xoro-hsb-55-2in1-bluetooth-soundbar-tws-4000mah-akku-soundbar-2-0-bluetooth-20-w-flexible-2-in-1-lautsprecher-einzeln-oder-als-soundbar-nutzbar-CS0BC40QA/,"Xoro HSB 55 2in1-Bluetooth-Soundbar, TWS, 4000mAh Akku Soundbar",,,Xoro,"39,95 €","69,90 €",-43%,,,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,5,4.5,,,,"{""Netzwerkstandard"": ""Bluetooth"", ""Gesamtleistung"": ""20 W"", ""Max. Akkulaufzeit"": ""5 Std."", ""Gewicht"": ""0,73 kg"", ""Sprachsteuerung"": ""0""}",,,exclude_accessory_keyword:soundbar,False
topseller_api,3,218,349,349,349,349,organic,True,S019H0CA,S019H0CA8M03,,https://www.otto.de/p/ultimea-poseidon-d50-soundbar-5-1-kanal-surround-sound-hdmi-320-w-mit-subwoofer-und-rear-lautsprechern-surround-und-bass-einstellbare-S019H0CA/,Ultimea Poseidon D50 Soundbar,,,Ultimea,"99,99 €","199,99 €",-50%,,,lieferbar - in 5-6 Werktagen bei dir,Available - at your door in 5-6 working days,65,4.5,,,,"{""Netzwerkstandard"": ""HDMI"", ""Gesamtleistung"": ""320 W""}",Sehr beliebt,Very popular,exclude_accessory_keyword:soundbar,False
topseller_api,3,218,350,350,350,350,organic,True,S00IO0X3,S9Z2TZHJCB3R,,https://www.otto.de/p/xgimi-haloplus-gtv-1080p-tragbarer-beamer-700-iso-lumen-google-tv-mit-netflix-portabler-projektor-700-lm-1920-x1080-1080p-px-google-tv-mit-netflix-1080p-700-iso-lumen-google-tv-mit-netflix-S00IO0X3/,"XGIMI Halo+ GTV 1080P Tragbarer Beamer, 700 ISO Lumen, Google TV mit Netflix Portabler Projektor",,,XGIMI,"549,00 €","799,00 €",-31%,,,lieferbar - in 5-6 Werktagen bei dir,Available - at your door in 5-6 working days,,,,,,,,,"exclude_keyword:projektor,beamer",False
topseller_api,3,218,356,356,356,356,organic,True,S065F0HQ,S065F0HQ59GL,,https://www.otto.de/p/en-casa-tv-schrank-roskobing-tv-board-43x120x29cm-weiss-holzoptik-S065F0HQ/,en.casa TV-Schrank,,,en.casa,"51,99 €","64,99 €",-20%,,,lieferbar - in 5-6 Werktagen bei dir,Available - at your door in 5-6 working days,9,4.5,,,,,,,"exclude_keyword:tv-schrank,schrank",False
topseller_api,4,327,364,364,364,364,organic,True,C2032463731,2032463732,,https://www.otto.de/p/sharp-ht-sbw121-soundbar-2-1-bluetooth-240-w-C2032463731/,Sharp HT-SBW121 Soundbar,,,Sharp,"77,00 €","129,00 €",-40%,nur für kurze Zeit,Only for a short time,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,3,4.5,,,,"{""Netzwerkstandard"": ""Bluetooth"", ""Gesamtleistung"": ""240 W"", ""Gewicht"": ""2,9 kg""}",,,exclude_accessory_keyword:soundbar,False
