source,page_number,page_offset,display_rank,list_position,row_index,target_rank,exposure_type,is_listing_target,product_id,variation_id,origin,product_url,retailer_sku_name,sku_status_raw,sku_status,brand,final_sku_price,original_sku_price,savings,delivery_availability_raw,delivery_availability,count_of_reviews_listing,average_rating_listing,energy_efficiency_class,energy_label_uri,energy_datasheet_uri,top_infos,sku_popularity_raw,sku_popularity,discount_type_raw,discount_type,classify_reason,is_target
topseller_api,3,218,245,245,245,245,organic,True,S08DX0HD,S08DX0HDTGA7,,https://www.otto.de/p/raumhirsch-furniture-waschmaschinenumbauschrank-waschmaschinenschrank-fuer-waschmaschine-waeschetrockner-7-farben-lieferbar-fuer-zwei-geraete-geeignet-S08DX0HD/,Raumhirsch Furniture Waschmaschinenumbauschrank Waschmaschinenschrank für Waschmaschine & Wäschetrockner,,,Raumhirsch Furniture,"229,90 €","289,90 €",-21%,lieferbar - in 6-7 Werktagen bei dir,Available - at your door in 6-7 working days,5,4.0,,,,,,,,,"exclude_keyword:schrank,umbau",False
topseller_api,3,218,251,251,251,251,organic,True,C1615828733,1615828734,,https://www.otto.de/p/xavax-unterbausockel-sockel-untergestell-60-x-60-x-40cm-waschmaschine-trockner-hausgeraetesockel-verstellbar-C1615828733/,Xavax Unterbausockel Sockel Untergestell 60 x 60 x 40cm Waschmaschine Trockner,,,Xavax,"93,02 €","109,00 €",-15%,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,149,4.5,,,,,Sehr beliebt,Very popular,,,"exclude_keyword:untergestell,sockel,gestell",False
topseller_api,3,218,252,252,252,252,organic,True,S0R9Q0CP,S0R9Q0CPKXDW,,https://www.otto.de/p/adler-europe-waescheschleuder-ad-8051-tragbare-mini-waschmaschine-mit-schleuderfunktion-3-kg-camping-ferienwohnung-kleine-wohnung-blau-weiss-S0R9Q0CP/,ADLER EUROPE Wäscheschleuder AD 8051 tragbare Mini Waschmaschine mit Schleuderfunktion,,,ADLER EUROPE,"66,90 €",,,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,7,2.5,,,,,,,,,"exclude_keyword:wäscheschleuder,schleuderfunktion",False
topseller_api,3,218,255,255,255,255,organic,True,S0N40020,S0N40020MXDV,,https://www.otto.de/p/steinborg-waescheschleuder-sb-4001-3-kg-mini-waschmaschine-camping-3-kg-kapazitaet-schleuderfunktion-150-watt-S0N40020/,STEINBORG Wäscheschleuder SB-4001,,,STEINBORG,"89,90 €","119,90 €",-25%,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,7,2.0,,,,,,,,,exclude_keyword:wäscheschleuder,False
topseller_api,3,218,259,259,259,259,organic,True,S0SDI04H,S0SDI04HPE6R,,https://www.otto.de/p/raumhirsch-furniture-waschmaschinenumbauschrank-mit-stauraum-fuer-waschmaschine-waschmaschinenschrank-vier-farben-S0SDI04H/,Raumhirsch Furniture Waschmaschinenumbauschrank mit Stauraum für Waschmaschine – Waschmaschinenschrank- vier Farben,,,Raumhirsch Furniture,"199,90 €","339,90 €",-41%,lieferbar - in  6-8 Werktagen bei dir,Available - at your door in 6-8 working days,11,4.5,,,,,,,,,"exclude_keyword:schrank,umbau",False
topseller_api,3,218,263,263,263,263,organic,True,S0P9H03V,S0P9H03V5B9L,,https://www.otto.de/p/clp-waschmaschinenuntergestell-medina-metall-gestell-fuer-waschmaschinen-S0P9H03V/,CLP Waschmaschinenuntergestell Medina,,,CLP,"94,90 €","167,90 €",-43%,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,13,4.0,,,,,,,,,"exclude_keyword:untergestell,gestell",False
topseller_api,3,218,267,267,267,267,organic,True,S0TF90EG,S0TF90EG63P6,,https://www.otto.de/p/felixleo-schutz-set-waschmaschinen-abdeckung-staubdicht-wasserdicht-frontlader-schutzhuelle-S0TF90EG/,FELIXLEO Schutz-Set Waschmaschinen Abdeckung Staubdicht Wasserdicht Frontlader Schutzhülle,,,FELIXLEO,"22,99 €","23,26 €",,lieferbar in 2 Wochen,Available in 2 weeks,,,,,,,,,,,exclude_keyword:abdeckung,False
topseller_api,3,218,277,277,277,277,organic,True,S0LFX01O,S0LFX01O0TJ7,,https://www.otto.de/p/bestlivings-waschmaschinenbezug-weichschaummatte-60x60cm-4-5mm-stark-anti-rusch-waschbar-bei-40-c-pflegeleicht-hygienisch-S0LFX01O/,Bestlivings Waschmaschinenbezug Weichschaummatte 60x60cm,,,Bestlivings,"8,69 €",,,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,2,5.0,,,,,,,,,exclude_keyword:bezug,False
topseller_api,3,218,283,283,283,283,organic,True,CS0TC505D,S0TC505D0PNX,,https://www.otto.de/p/theo-klein-lernspielzeug-bosch-waschmaschine-kinderhaushaltsgera-t-wei-CS0TC505D/,"Theo Klein Lernspielzeug Bosch Waschmaschine, KinderhaushaltsgerÃ¤t (wei)",,,Theo Klein,"65,94 €",,,lieferbar - in 5-6 Werktagen bei dir,Available - at your door in 5-6 working days,,,,,,,,,,,"exclude_keyword:spielzeug,lernspiel",False
topseller_api,3,218,295,295,295,295,organic,True,S0WCQ0NS,S0WCQ0NSEWPB,,https://www.otto.de/p/clanmacy-waschmaschinenuntergestell-waschmaschine-sockel-verstellbare-untergestell-fuer-trockner-41-66cm-S0WCQ0NS/,Clanmacy Waschmaschinenuntergestell Waschmaschine Sockel Verstellbare Untergestell für Trockner 41-66cm,,,Clanmacy,"18,99 €","24,98 €",-24%,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,13,4.0,,,,,,,,,"exclude_keyword:untergestell,sockel,gestell",False
topseller_api,3,218,297,297,297,297,organic,True,S023S0QB,S023S0QBEFRQ,,https://www.otto.de/p/steinborg-waescheschleuder-sb-4002-3-kg-mini-waschmaschine-camping-3-kg-kapazitaet-schleuderfunktion-2-kammern-S023S0QB/,STEINBORG Wäscheschleuder SB-4002,,,STEINBORG,"119,90 €","149,90 €",-20%,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,19,4.0,,,,,,,,,exclude_keyword:wäscheschleuder,False
