source,listing_area,row_index,display_rank,organic_rank,sponsored_rank,target_rank,exposure_type,render_state,is_fully_loaded_card,is_placeholder_card,is_listing_target,article_number,product_id,variation_id,list_position,local_list_position,origin,product_url,retailer_sku_name,final_sku_price,original_sku_price,savings,final_sku_price_text,original_sku_price_text,savings_text,sku_popularity_raw,sku_popularity,sku_status_raw,sku_status,discount_type_raw,discount_type
topseller,#reptile-search-result section.reptile-tile-list,53,53,45,,53,organic,placeholder_link_only,False,True,True,52275229,1975567478,1975567481,53,53,,https://www.otto.de/p/samsung-gq65s85fae-oled-fernseher-163-cm-65-zoll-4k-ultra-hd-smart-tv-hdr-dolby-atmos-ai-sound-pantone-farben-gaming-hub-bis-zu-120hz-1975567478/?variationId=1975567481,"Samsung GQ65S85FAE OLED-Fernseher (163 cm/65 Zoll, 4K Ultra HD, Smart-TV, HDR, Dolby Atmos & AI Sound, Pantone Farben, Gaming Hub, bis zu 120Hz)",,,,,,,,,,,,
topseller,#reptile-search-result section.reptile-tile-list,54,54,46,,54,organic,placeholder_link_only,False,True,True,85228123,2093625842,2093625843,54,54,,https://www.otto.de/p/lg-75nu850b6la-dled-fernseher-189-cm-75-zoll-4k-ultra-hd-smart-tv-2093625842/?variationId=2093625843,"LG 75NU850B6LA DLED-Fernseher (189 cm/75 Zoll, 4K Ultra HD, Smart-TV)",,,,,,,,,,,,
topseller,#reptile-search-result section.reptile-tile-list,55,55,47,,55,organic,placeholder_link_only,False,True,True,22165346,1970617854,1970617855,55,55,,https://www.otto.de/p/philips-55pus8000-12-led-fernseher-139-cm-55-zoll-4k-ultra-hd-smart-tv-ambilight-pixel-precise-uhd-hdr10plus-hlg-gaming-dolby-atmos-1970617854/?variationId=1970617855,"Philips 55PUS8000/12 LED-Fernseher (139 cm/55 Zoll, 4K Ultra HD, Smart-TV, Ambilight, Pixel Precise UHD, HDR10+ & HLG, Gaming, Dolby Atmos)",,,,,,,,,,,,
topseller,#reptile-search-result section.reptile-tile-list,57,57,48,,57,organic,placeholder_link_only,False,True,True,S0DJ806DQTR,S0DJ806D,S0IFT0797TWX,57,57,,https://www.otto.de/p/medion-md855601-qled-fernseher-138-8-cm-55-zoll-4k-ultra-hd-smart-tv-dolby-vision-dolby-atmos-netflix-hbo-max-prime-video-disneyplus-wow-S0DJ806D/?variationId=S0IFT0797TWX,"Medion® MD843601 QLED-Fernseher (108 cm/43 Zoll, 4K Ultra HD, Smart-TV, Dolby Vision, Dolby Atmos, Netflix, HBO Max, Prime Video, Disney+, WOW)",,,,,,,,,,,,
topseller,#reptile-search-result section.reptile-tile-list,58,58,49,,58,organic,placeholder_link_only,False,True,True,,C1582142828,1582142829,58,58,,https://www.otto.de/p/hama-tv-wandhalterung-halterung-schwenkbar-neigbar-48-122-cm-19-48-bis-48-zoll-max-20-kg-C1582142828/?variationId=1582142829,"Hama TV-Wandhalterung Halterung, schwenkbar, neigbar 48 - 122 cm (19"" - 48), (bis 48 Zoll, max. 20 kg)",,,,,,,,,,,,
topseller,#reptile-search-result section.reptile-tile-list,59,59,50,,59,organic,placeholder_link_only,False,True,True,53088944,C1970617890,1970617891,59,59,,https://www.otto.de/p/philips-32pfs6900-12-led-fernseher-80-cm-32-zoll-full-hd-smart-tv-ambilight-pixel-plus-hd-hdr10-hlg-dolby-audio-vocal-boost-C1970617890/?variationId=1970617891,"Philips 32PFS6900/12 LED-Fernseher (80 cm/32 Zoll, Full HD, Smart-TV, Ambilight, Pixel Plus HD, HDR10 & HLG, Dolby Audio, Vocal Boost)",,,,,,,,,,,,
topseller,#reptile-search-result section.reptile-tile-list,60,60,51,,60,organic,placeholder_link_only,False,True,True,S0MBV0QW,S0MBV0QW,S0MBV0QWWIM5,60,60,,https://www.otto.de/p/alltro-universal-tv-fernbedienung-passend-fuer-alle-telefunken-fernseher-fernbedienung-mit-youtube-netflix-tasten-S0MBV0QW/?variationId=S0MBV0QWWIM5,"Alltro Universal TV Fernbedienung passend für alle Telefunken Fernseher Fernbedienung (Mit YouTube-, Netflix-Tasten)",,,,,,,,,,,,
topseller,#reptile-search-result section.reptile-tile-list,61,61,52,,61,organic,placeholder_link_only,False,True,True,66250507,1975567984,1975567985,61,61,,https://www.otto.de/p/samsung-gq55qn70fau-qled-fernseher-138-cm-55-zoll-4k-ultra-hd-smart-tv-neo-quantum-hdr-4k-ai-upscaling-gaming-hub-motion-xcelerator-144hz-1975567984/?variationId=1975567985,"Samsung GQ55QN70FAU QLED-Fernseher (138 cm/55 Zoll, 4K Ultra HD, Smart-TV, Neo Quantum HDR, 4K AI Upscaling, Gaming Hub, Motion Xcelerator 144Hz)",,,,,,,,,,,,
topseller,#reptile-search-result section.reptile-tile-list,62,62,53,,62,organic,placeholder_link_only,False,True,True,S0FFD0DQ,S0FFD0DQ,S0FFD0DQHEXW,62,62,,https://www.otto.de/p/jvc-lt-24vrh3555-lcd-led-fernseher-60-cm-24-zoll-hd-ready-fire-tv-fire-tv-smart-tv-hdr-alexa-built-in-triple-tuner-S0FFD0DQ/?variationId=S0FFD0DQHEXW,"JVC LT-24VRH3555 LCD-LED Fernseher (60 cm/24 Zoll, HD-ready, Fire TV, Fire TV / Smart TV, HDR, Alexa Built-In, Triple-Tuner)",,,,,,,,,,,,
topseller,#reptile-search-result section.reptile-tile-list,63,63,54,,63,organic,placeholder_link_only,False,True,True,54293357,1975567463,1975567464,63,63,,https://www.otto.de/p/samsung-gu65u8079fu-led-fernseher-163-cm-65-zoll-4k-ultra-hd-smart-tv-crystal-uhd-q-symphony-dolby-surround-sound-triple-tuner-smart-hub-1975567463/?variationId=1975567464,"Samsung GU65U8079FU LED-Fernseher (163 cm/65 Zoll, 4K Ultra HD, Smart-TV, Crystal UHD, Q-Symphony, Dolby Surround Sound, Triple Tuner, Smart-Hub)",,,,,,,,,,,,
topseller,#reptile-search-result section.reptile-tile-list,65,65,55,,65,organic,placeholder_link_only,False,True,True,78173651,1968874107,1968874108,65,65,,https://www.otto.de/p/lg-oled48b59la-oled-fernseher-121-cm-48-zoll-4k-ultra-hd-smart-tv-1968874107/?variationId=1968874108,"LG OLED48B59LA OLED-Fernseher (121 cm/48 Zoll, 4K Ultra HD, Smart-TV)",,,,,,,,,,,,
